doctor_id,employee_code,full_name,specialty,department,experience_years,is_active,created_at
1,EMP-001,Balendra Singhal,Gastroenterology,Radiology,3,1,2026-05-05 22:12:42.414878
2,EMP-002,Nihal Sibal,Dermatology,Pathology,35,1,2026-05-05 22:12:42.414889
3,EMP-003,Jack Talwar,Oncology,ICU,16,1,2026-05-05 22:12:42.414897
4,EMP-004,Riya Parikh,Dermatology,OPD,40,1,2026-05-05 22:12:42.414902
5,EMP-005,dr. Tanvi Tailor,Dermatology,Other,28,1,2026-05-05 22:12:42.414911
6,EMP-006,Manbir Dasgupta,Oncology,Emergency,15,1,2026-05-05 22:12:42.414917
7,EMP-007,Girik Jani,Endocrinology,Radiology,38,1,2026-05-05 22:12:42.414923
8,EMP-008,Pranit Ganguly,Orthopedics,Surgery,24,1,2026-05-05 22:12:42.414930
9,EMP-009,Simon Agrawal,Other,Radiology,33,1,2026-05-05 22:12:42.414936
10,EMP-010,Omaja Bose,Cardiology,Surgery,7,1,2026-05-05 22:12:42.414942
11,EMP-011,Wishi Chandra,Oncology,ICU,10,1,2026-05-05 22:12:42.414948
12,EMP-012,Atharv Mane,Dermatology,Surgery,14,1,2026-05-05 22:12:42.414954
13,EMP-013,Meera Prakash,Dermatology,Surgery,7,1,2026-05-05 22:12:42.414959
14,EMP-014,Ekiya Dube,Pulmonology,Emergency,5,1,2026-05-05 22:12:42.414965
15,EMP-015,Finn Sharma,Oncology,ICU,22,1,2026-05-05 22:12:42.414971
16,EMP-016,Sudiksha Luthra,Other,Other,11,1,2026-05-05 22:12:42.414976
17,EMP-017,Forum Bassi,Orthopedics,Radiology,12,1,2026-05-05 22:12:42.414982
18,EMP-018,Ekta Dayal,Dermatology,Radiology,28,1,2026-05-05 22:12:42.414988
19,EMP-019,Chanakya Mandal,Orthopedics,Other,26,1,2026-05-05 22:12:42.414993
20,EMP-020,Christopher Bobal,Neurology,Pathology,28,1,2026-05-05 22:12:42.414999
21,EMP-021,George Rastogi,Nephrology,OPD,29,1,2026-05-05 22:12:42.415004
22,EMP-022,Pranav Khatri,Gastroenterology,ICU,14,1,2026-05-05 22:12:42.415011
23,EMP-023,Gaurav Bail,Oncology,Radiology,7,1,2026-05-05 22:12:42.415016
24,EMP-024,Nicholas Rama,Endocrinology,OPD,24,1,2026-05-05 22:12:42.415022
25,EMP-025,Bhavani Dube,Pulmonology,ICU,17,1,2026-05-05 22:12:42.415027
26,EMP-026,Chanchal Swaminathan,Pulmonology,Radiology,21,1,2026-05-05 22:12:42.415033
27,EMP-027,Dayita Deep,Nephrology,Surgery,38,1,2026-05-05 22:12:42.415039
28,EMP-028,Gopal Pillai,Dermatology,Other,30,1,2026-05-05 22:12:42.415045
29,EMP-029,Vrishti Sehgal,Other,Pathology,20,1,2026-05-05 22:12:42.415050
30,EMP-030,Vamakshi Loyal,Nephrology,ICU,9,1,2026-05-05 22:12:42.415055
31,EMP-031,Gautam Sami,Orthopedics,Emergency,8,1,2026-05-05 22:12:42.415061
32,EMP-032,Quincy Saraf,Neurology,Radiology,25,1,2026-05-05 22:12:42.415066
33,EMP-033,Girik Baria,Neurology,Radiology,25,1,2026-05-05 22:12:42.415071
34,EMP-034,Ubika Kapur,Pulmonology,Pathology,35,1,2026-05-05 22:12:42.415077
35,EMP-035,Warhi Vyas,Other,OPD,36,1,2026-05-05 22:12:42.415083
36,EMP-036,Bina Sidhu,Pediatrics,OPD,12,1,2026-05-05 22:12:42.415088
37,EMP-037,Fariq Sridhar,Pulmonology,Radiology,4,1,2026-05-05 22:12:42.415094
38,EMP-038,Manthan Datta,Cardiology,Surgery,9,1,2026-05-05 22:12:42.415099
39,EMP-039,Yuvraj Virk,Gastroenterology,Radiology,33,1,2026-05-05 22:12:42.415105
40,EMP-040,Chakrika Batta,Gastroenterology,Pathology,32,1,2026-05-05 22:12:42.415110
41,EMP-041,Chakradev Varghese,Pulmonology,Surgery,11,1,2026-05-05 22:12:42.415115
42,EMP-042,Yashvi Sandal,Cardiology,Other,15,1,2026-05-05 22:12:42.415121
43,EMP-043,Girindra Shetty,Pediatrics,OPD,35,1,2026-05-05 22:12:42.415126
44,EMP-044,Isha Kumar,Pulmonology,Radiology,32,1,2026-05-05 22:12:42.415131
45,EMP-045,Yahvi Babu,Oncology,Radiology,8,1,2026-05-05 22:12:42.415137
46,EMP-046,Turvi Gola,Endocrinology,Other,24,1,2026-05-05 22:12:42.415142
47,EMP-047,Maya Bath,Cardiology,Other,29,1,2026-05-05 22:12:42.415148
48,EMP-048,Omaja Mishra,Gastroenterology,ICU,16,1,2026-05-05 22:12:42.415154
49,EMP-049,Suhani Sengupta,Cardiology,Surgery,17,1,2026-05-05 22:12:42.415160
50,EMP-050,Harita Grover,Oncology,Surgery,8,1,2026-05-05 22:12:42.415166
